VISA;TITRE;REALISATEUR;PRODUCTEURS;DEVIS;GENRE;EOF;RANG;ASR;PAYANTE;CLAIR;NATIONALITE;Date;DECOMPOSITION;AIDES
111833;20 CENTIMETRES;SALAZAR Ramon;DIVINE PRODUCTIONS;3 500 000,00;Fiction;;2;;;;Espagne/France;2005;Espagne-90 / France-10;
111324;DIAS DE CAMPO - JOURNEES A LA CAMPAGNE;RUIZ Raoul;MARGO FILMS;887 955,00;Fiction;;3;;;;France/Chili;2005;France-79 / Chili-20;
111935;ECOUTE LE TEMPS;ALFANDARI Alante;LES FILMS D'ANTOINE;2 094 398,00;Fiction;;1;avant;;;France;2005;France-100;Crédit D'impot,Aide Régionale
111795;HELL;CHICHE Bruno;D8 FILMS / SOCIETE NOUVELLE DE DISTRIBUTION / WY PRODUCTIONS;2 512 141,00;Fiction;;2;;;;France;2005;France-100;Crédit D'impot
109246;HOUSE OF NINE;MONROE Steven;ART'MELL;7 443 924,00;Fiction;;2;;;;Grande Bretagne/Roumanie/Allemagne/France;2005;Grande Bretagne-54 / Roumanie-20 / Allemagne-13 / France-13;
112797;INCONTRÔLABLE;SHART Raffy;PATHE PRODUCTION / SAJ / TF1 FILMS PRODUCTION;12 904 996,00;Fiction;;1;;;;France;2005;France-100;Sofica,Crédit D'impot
113923;JE VAIS BIEN, NE T'EN FAIS PAS;LIORET Philippe;FIN AOUT PRODUCTIONS / FRANCE 3 CINEMA / NORD OUEST FILMS / NORD OUEST PRODUCTION / STUDIOCANAL;4 554 287,00;Fiction;;3;;;;France;2005;France-100;Sofica,Crédit D'impot
111186;SUZANNE;CANDAS Viviane;GEMINI FILMS;1 016 059,00;Fiction;;2;avant;;;France;2005;France-100;Crédit D'impot
140940;C'est le métier qui rentre;KURYS Diane;ALEXANDRE FILMS;3859331;Fiction;;3;;OCS;;France;2015;France-100;Crédit D'impot,Aide Régionale
142730;Dans la forêt;MARCHAND Gilles;LES FILMS DE FRANCOISE;2896155;Fiction;;3;avant;C+ Ciné+;;France;2015;France-100;Sofica,Crédit D'impot
141105;Family film;OMERZU Olmo;ROUGE INTERNATIONAL;1599444;Fiction;;2;;;;Rep Tchèque/Allemagne/Slovénie/Slovaquie/France;2015;Rep Tchèque-50 / Allemagne-19 / Slovénie-11 / Slovaquie-10 / France-10;
142206;Garçon (Le);LIORET Philippe;FIN AOUT PRODUCTIONS / FRANCE 3 CINEMA;6852162;Fiction;;3;;C+ OCS;F3;France/Canada;2015;France-84 / Canada-16;Sofica
140245;Hibou;BEDIA Ramzy;GAUMONT / GAUMONT PRODUCTION / LES FILMS DU CAP;3992019;Fiction;;2;;C+;;France/Canada;2015;France-83 / Canada-17;Sofica,Crédit D'impot
143545;I, daniel blake;LOACH Ken;FRANCE 2 CINEMA / WHY NOT PRODUCTIONS;4655645;Fiction;;3;;C+ Ciné+;F2;Grande Bretagne/France/Belgique;2015;Grande Bretagne-65 / France-25 / Belgique-10;
135401;La voz en off;JIMENEZ Cristian;ROUGE INTERNATIONAL;615932;Fiction;;3;;;;Chili/France;2015;Chili-68 / France-32;
140144;Loi de la jungle (La);PERETJATKO Antonin;FRANCE 3 CINEMA / IMAV EDITIONS / RECTANGLE PRODUCTIONS;3854604;Fiction;;2;avant;C+ Ciné+;F3;France;2015;France-100;Sofica,Crédit D'impot,Aide Régionale
139908;Polina;MULLER Valerie / PRELJOCAJ Angelin;EVERYBODY ON DECK / FRANCE 2 CINEMA;3992608;Fiction;;2 / 1;;C+ Ciné+;F2;France;2015;France-100;Sofica,Crédit D'impot,Aide Régionale
130224;Sahara;CORE Pierre;LA STATION ANIMATION / MANDARIN CINEMA / STUDIOCANAL;12230027;Anim;;1;;C+ Ciné+;M6 W9;France/Canada;2015;France-53 / Canada-47;Aide Régionale
141032;Une histoire américaine;HOSTIOU Armel;BOCALUPO FILMS;210146;Fiction;;2;apres;;;France;2015;France-100;
140703;Vienne avant la nuit;BOBER Robert;LES FILMS DU POISSON;700387;Docu;;1;avant;;;France/Allemagne/Autriche;2015;France-56 / Allemagne-25 / Autriche-19;
141907;Viva la sposa;CELESTINI Ascanio;AETERNAM FILMS;1327048;Fiction;;3;;;;Italie/France/Belgique;2015;Italie-70 / France-20 / Belgique-10;
133830;ABUS DE FAIBLESSE;BREILLAT Catherine;ARTE FRANCE CINEMA / CB FILMS / FLACH FILM / FLACH FILM PRODUCTION;3 984 660,00;Fiction;;3;avant;;ARTE;France/Belgique;2012;France-74 / Belgique-25;Sofica
133666;AMOUR & TURBULENCES;CASTAGNETTI Alexandre;MANCHESTER FILMS / REVERENCE / THELMA FILMS;6 311 493,00;Fiction;;2;;;;France;2012;France-100;Sofica,Crédit D'impot
131874;CHEBA;CHARPIAT Françoise;D8 FILMS / LEGATO FILMS / WILD BUNCH;3 775 496,00;Fiction;;1;;;DIRECT 8;France;2012;France-100;Sofica,Crédit D'impot,Aide Régionale
130339;DIAZ;VICARI Daniele;LE PACTE;6 000 000,00;Fiction;;3;;;;Italie/Roumanie/France;2012;Italie-60 / Roumanie-20 / France-20;Sofica
132543;DJECA, ENFANTS DE SARAJEVO;BEGIC Aida;LES FILMS DE L'APRES MIDI;1 289 633,00;Fiction;;3;;;;Bosnie Herzegovine/Allemagne/France/Turquie;2012;Bosnie Herzegovine-40 / Allemagne-26 / France-22 / Turquie-10;
119630;JE M'APPELLE HMMM…;TROUBLE Agnès;LOVE STREAMS AGNES B. PRODUCTIONS;2 170 996,00;Fiction;;1;;;;France;2012;France-100;Crédit D'impot
125313;OPERACION E;COURTOIS Miguel;AJOZ FILMS;3 732 214,00;Fiction;;3;;;;Espagne/France;2012;Espagne-65 / France-35;Sofica
132018;PARIS A TOUT PRIX;KHERICI Reem;GAUMONT / MANDARIN CINEMA;3 995 759,00;Fiction;;1;;;;France;2012;France-100;Sofica,Crédit D'impot
